Employee_Id,Person ID,Date,Name
14,"CheckInTime2023-09-01 11:42:21	",9/1/2023,"CheckOutTime2023-09-01 20:41:41	"
14,"CheckInTime2023-09-02 12:24:02	",9/2/2023,"CheckOutTime2023-09-02 20:04:09	"
14,"CheckInTime2023-09-04 12:18:49	",9/4/2023,"CheckOutTime2023-09-04 21:21:06	"
14,"CheckInTime2023-09-05 12:08:36	",9/5/2023,"CheckOutTime2023-09-05 21:58:57	"
14,"CheckInTime2023-09-06 11:42:38	",9/6/2023,"CheckOutTime2023-09-06 21:13:25	"
14,"CheckInTime2023-09-08 11:50:28	",9/8/2023,"CheckOutTime	"
14,"CheckInTime2023-09-09 12:19:48	",9/9/2023,"CheckOutTime	"
14,"CheckInTime2023-09-11 12:01:49	",9/11/2023,"CheckOutTime2023-09-11 20:30:48	"
14,"CheckInTime2023-09-12 11:53:43	",9/12/2023,"CheckOutTime2023-09-12 21:51:05	"
14,"CheckInTime2023-09-13 11:58:15	",9/13/2023,"CheckOutTime2023-09-13 21:23:02	"
14,"CheckInTime2023-09-14 11:50:48	",9/14/2023,"CheckOutTime	"
14,"CheckInTime2023-09-15 11:47:26	",9/15/2023,"CheckOutTime	"
14,"CheckInTime2023-09-16 12:06:06	",9/16/2023,"CheckOutTime	"
14,"CheckInTime2023-09-18 11:44:00	",9/18/2023,"CheckOutTime2023-09-18 21:00:49	"
14,"CheckInTime2023-09-19 11:52:24	",9/19/2023,"CheckOutTime2023-09-19 21:21:36	"
14,"CheckInTime2023-09-21 11:57:11	",9/20/2023,"CheckOutTime2023-09-20 21:03:49	"
14,"CheckInTime2023-09-21 11:57:11	",9/21/2023,"CheckOutTime2023-09-21 20:53:10	"
14,"CheckInTime2023-09-22 11:52:12	",9/22/2023,"CheckOutTime	"
14,"CheckInTime2023-09-23 12:01:42	",9/23/2023,"CheckOutTime2023-09-23 20:57:23	"
14,"CheckInTime2023-09-25 11:56:45	",9/25/2023,"CheckOutTime2023-09-25 20:30:00	"
14,"CheckInTime2023-09-26 11:51:09	",9/26/2023,"CheckOutTime2023-09-26 21:22:35	"
14,"CheckInTime	",9/27/2023,"CheckOutTime2023-09-27 21:16:50	"
14,"CheckInTime	",9/28/2023,"CheckOutTime2023-09-28 21:29:31	"
14,"CheckInTime2023-09-30 11:30:29	",9/30/2023,"CheckOutTime2023-09-30 21:00:06	"
16,"CheckInTime2023-09-01 11:11:32	",9/1/2023,"CheckOutTime2023-09-01 18:02:44	"
16,"CheckInTime2023-09-02 11:06:05	",9/2/2023,"CheckOutTime2023-09-02 20:35:46	"
16,"CheckInTime2023-09-04 11:14:21	",9/4/2023,"CheckOutTime2023-09-04 21:25:19	"
16,"CheckInTime2023-09-05 11:21:07	",9/5/2023,"CheckOutTime2023-09-05 21:42:28	"
16,"CheckInTime2023-09-06 11:17:49	",9/6/2023,"CheckOutTime2023-09-06 21:25:42	"
16,"CheckInTime2023-09-08 11:26:45	",9/8/2023,"CheckOutTime2023-09-08 21:18:52	"
16,"CheckInTime2023-09-09 11:21:24	",9/9/2023,"CheckOutTime2023-09-09 21:00:33	"
16,"CheckInTime2023-09-11 11:25:33	",9/11/2023,"CheckOutTime2023-09-11 21:36:55	"
16,"CheckInTime2023-09-12 11:24:08	",9/12/2023,"CheckOutTime2023-09-12 21:34:37	"
16,"CheckInTime2023-09-13 11:55:58	",9/13/2023,"CheckOutTime2023-09-13 21:30:56	"
16,"CheckInTime2023-09-14 11:32:33	",9/14/2023,"CheckOutTime2023-09-14 21:14:41	"
16,"CheckInTime2023-09-15 11:28:15	",9/15/2023,"CheckOutTime2023-09-15 21:19:10	"
16,"CheckInTime2023-09-16 11:12:07	",9/16/2023,"CheckOutTime2023-09-16 19:42:54	"
16,"CheckInTime2023-09-18 11:13:12	",9/18/2023,"CheckOutTime2023-09-18 21:33:49	"
16,"CheckInTime2023-09-19 11:24:22	",9/19/2023,"CheckOutTime2023-09-19 21:27:49	"
16,"CheckInTime2023-09-20 11:24:36	",9/20/2023,"CheckOutTime2023-09-20 21:10:39	"
16,"CheckInTime2023-09-21 11:15:26	",9/21/2023,"CheckOutTime2023-09-21 21:41:10	"
16,"CheckInTime2023-09-22 11:25:07	",9/22/2023,"CheckOutTime2023-09-22 21:23:26	"
16,"CheckInTime2023-09-23 11:31:54	",9/23/2023,"CheckOutTime2023-09-23 20:58:09	"
16,"CheckInTime2023-09-25 11:47:17	",9/25/2023,"CheckOutTime2023-09-25 21:07:23	"
16,"CheckInTime2023-09-26 11:24:53	",9/26/2023,"CheckOutTime2023-09-26 21:34:37	"
